Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500325,RELIANCE,A,1320.00,1384.70,1300.00,1363.35,2629550,35283.30,88016
540153,ENDURANCE,A,593.25,601.00,562.00,567.40,3845369,21821.10,8927
524804,AUROPHARMA,A,651.00,684.25,631.75,643.15,1601282,10534.58,29435
532174,ICICIBANK,A,327.40,338.00,323.00,336.10,2655360,8704.77,20005
500034,BAJFINANCE,A,2065.00,2170.00,2024.00,2147.50,367109,7717.71,29795
500247,KOTAKBANK,A,1122.00,1166.00,1108.00,1151.00,665885,7584.77,8325
500674,SANOFI,A,7675.00,7733.95,7475.00,7496.65,91784,7051.68,635
500112,SBIN,A,185.10,189.50,181.40,188.60,3433220,6368.86,22639
532187,INDUSINDBK,A,399.40,420.00,385.00,415.60,1549374,6260.21,34228
534091,MCX,A,1025.00,1025.00,950.00,990.20,482461,4782.14,4082
512070,UPL,A,348.30,359.00,336.35,353.40,1373205,4673.75,4343
532215,AXISBANK,A,419.80,434.40,410.55,431.20,1056967,4487.31,20366
500180,HDFCBANK,A,918.00,932.65,907.30,928.40,429763,3950.39,14882
532500,MARUTI,A,5039.40,5247.65,4994.65,5180.70,59681,3062.90,10385
500312,ONGC,A,66.50,66.50,60.90,65.35,4278894,2716.13,20104
505537,ZEEL,A,130.00,155.15,130.00,151.50,1880445,2708.15,22436
500010,HDFC,A,1665.00,1678.85,1626.00,1663.15,158332,2627.42,13704
535789,IBULHSGFIN,A,115.75,117.50,108.00,115.25,2204808,2516.92,18603
533398,MUTHOOTFIN,A,721.25,768.35,718.20,759.50,307293,2243.13,8864
500510,LT,A,871.00,885.10,850.15,852.65,252548,2187.06,14959
542830,IRCTC,B,1474.00,1509.30,1401.55,1434.20,150062,2179.03,14122
500124,DRREDDY,A,4074.00,4095.00,3970.00,4057.30,52400,2122.57,5713
511218,SRTRANSFIN,A,601.00,622.70,565.85,606.75,352096,2109.55,18366
500696,HINDUNILVR,A,2330.00,2399.90,2276.40,2386.70,89661,2103.38,7270
500570,TATAMOTORS,A,74.75,76.65,72.60,75.90,2633362,1959.61,10519
540065,RBLBANK,A,109.20,109.20,101.60,105.15,1825407,1917.81,14610
532540,TCS,A,1746.00,1789.10,1720.35,1771.20,103696,1823.29,7702
532822,IDEA,A,3.83,4.05,3.72,3.96,46509341,1818.14,149439
532454,BHARTIARTL,A,512.55,516.00,492.30,501.25,359609,1810.35,7259
500875,ITC,A,179.45,183.50,176.20,182.35,917472,1661.43,5672
532483,CANBK,A,84.25,84.30,79.60,82.90,2007334,1650.45,6372
522113,TIMKEN,A,801.20,834.20,801.20,818.15,200370,1623.03,136
500470,TATASTEEL,A,266.00,269.65,259.25,268.55,595883,1580.40,8905
532296,GLENMARK,A,316.00,329.80,313.10,318.10,491541,1580.28,8659
532210,CUB,A,128.00,128.25,124.80,125.55,1240770,1575.07,1020
532149,BANKINDIA,A,35.00,35.00,33.85,34.35,4493439,1542.88,3595
500087,CIPLA,A,592.05,611.00,585.15,587.10,235467,1395.12,5666
500410,ACC,A,1151.20,1243.35,1120.10,1231.10,113773,1344.47,7932
500182,HEROMOTOCO,A,1815.00,1904.15,1800.00,1888.75,70801,1325.12,6020
500820,ASIANPAINT,A,1707.00,1821.50,1707.00,1812.65,72275,1297.44,6103
524715,SUNPHARMA*,A,473.25,482.25,469.50,474.25,271304,1292.69,6397
532868,DLF,A,132.00,135.20,130.00,133.50,923522,1226.49,7702
532286,JINDALSTEL,A,84.00,86.35,80.50,85.00,1444922,1203.05,4975
500830,COLPAL,A,1422.00,1518.30,1407.25,1506.70,80252,1182.27,7977
532978,BAJAJFINSV,A,4600.00,4813.70,4488.85,4773.45,24408,1135.76,4669
500295,VEDL,A,76.40,77.10,73.40,76.10,1444419,1085.10,6280
500209,INFY,A,633.20,645.30,628.10,642.05,166193,1062.78,5766
517334,MOTHERSUMI,A,72.80,74.75,70.50,73.15,1338427,979.84,5379
500547,BPCL,A,359.00,359.90,337.15,356.60,270890,943.54,5765
532466,OFSS,A,2067.15,2067.15,1995.00,2006.85,46491,934.41,564
532321,CADILAHC,A,340.95,341.00,327.50,331.35,277042,922.18,8778
539844,EQUITAS,A,46.75,47.90,43.55,47.10,1985596,894.84,4855
541153,BANDHANBNK,A,196.00,200.65,190.15,198.85,454554,892.86,7218
500495,ESCORTS,A,728.00,755.00,713.35,749.65,120236,890.66,4011
500257,LUPIN,A,818.00,829.40,803.00,806.45,101446,825.53,3991
535648,JUSTDIAL,A,315.85,345.80,313.30,343.35,246211,818.57,3841
543066,SBICARD,B,526.05,535.60,520.25,532.05,147219,777.16,11815
505200,EICHERMOT,A,13451.30,13944.40,13209.15,13699.55,5716,777.04,2303
532523,BIOCON,A,359.00,364.30,354.50,360.55,198134,714.25,5183
500440,HINDALCO,A,107.70,108.75,102.85,108.30,665048,703.01,4843
500331,PIDILITIND,A,1489.00,1546.65,1458.15,1536.90,46435,700.87,3723
532134,BANKBARODA,A,48.70,48.90,47.05,48.30,1457749,698.74,16756
500520,M&M,A,329.15,345.60,320.55,340.35,205661,692.42,5756
